INFO - 2021-08-07 13:04:09,693 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/harddisk.hdd/DiskDescriptor.xml.Backup... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 13:04:10,135 - .__main__ - main.main - MainThread - Elapsed time is 6 seconds 527 milliseconds. in main.py:108
INFO - 2021-08-07 13:04:19,489 - .s3.s3parallels.operation - operation._process - MainThread - Found VM Windows 10 with identifier dabfc2f1-772e-4647-84a6-e44af284bf79  and uptime is about 70 hours. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/operation.py:461
INFO - 2021-08-07 13:04:19,888 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {d50241f1-1ff3-4582-b303-626919aa9b42} expire 2021-08-09 12:50 (3 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 13:04:19,889 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {01e14926-e07d-4535-b441-832e32d43938} expire 2021-08-09 20:47 (2 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 13:04:19,889 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {4144557c-1bd8-40c9-b853-16db288ae082} expire 2021-08-12 13:04 (0 day) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 13:04:19,894 - .s3.s3storage - s3storage.__init__ - MainThread - Open S3 AWS Session... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:35
INFO - 2021-08-07 13:04:19,909 - .s3.s3storage - s3storage.__init__ - MainThread - Initialize S3 AWS client for https://hb.bizmrg.com... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:52
INFO - 2021-08-07 13:04:20,579 - .__main__ - main.main - MainThread - Elapsed time is 2 seconds 564 milliseconds. in main.py:108
INFO - 2021-08-07 14:29:40,969 - .__main__ - main.main - MainThread - Elapsed time is 1 millisecond. in main.py:108
INFO - 2021-08-07 14:34:53,776 - .s3.s3parallels.operation - operation._process - MainThread - Found VM Windows 10 with identifier dabfc2f1-772e-4647-84a6-e44af284bf79  and uptime is over 70 hours. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/operation.py:461
INFO - 2021-08-07 14:34:54,141 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {d50241f1-1ff3-4582-b303-626919aa9b42} expire 2021-08-09 12:50 (3 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 14:34:54,142 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {01e14926-e07d-4535-b441-832e32d43938} expire 2021-08-09 20:47 (2 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 14:34:54,142 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {f87bce9c-448b-45e7-9e06-6d92de68313d} expire 2021-08-12 13:43 (0 day) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 14:34:54,147 - .s3.s3storage - s3storage.__init__ - MainThread - Open S3 AWS Session... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:35
INFO - 2021-08-07 14:34:54,164 - .s3.s3storage - s3storage.__init__ - MainThread - Initialize S3 AWS client for https://hb.bizmrg.com... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:52
INFO - 2021-08-07 14:34:54,617 - .s3.s3base.s3baseobject - s3baseobject._copy_object - MainThread - Copy objects.py from Parallels/Windows 10 to Archives/2021/219/143454 Windows 10 in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3base/s3baseobject.py:332
INFO - 2021-08-07 14:34:55,547 - .s3.s3base.s3baseobject - s3baseobject._copy_object - MainThread - Copied 20 object(s). in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3base/s3baseobject.py:357
INFO - 2021-08-07 14:34:55,571 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/parallels.log was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,571 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Snapshots.xml was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,571 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/statistic.log was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,571 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/config.pvs was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,571 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/harddisk.hdd.drh was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,571 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/harddisk.hdd.{5fbaabe3-6958-40ff-92a7-860e329aab41}.cache was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,572 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/VmInfo.pvi was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,572 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/config.pvs.backup was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 14:34:55,572 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/VmInfo.pvi... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:55,685 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/config.pvs... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:55,963 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/statistic.log... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:56,688 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/Snapshots.xml... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:56,840 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/config.pvs.backup... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:57,020 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/parallels.log... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:58,389 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/harddisk.hdd/harddisk.hdd.{5fbaabe3-6958-40ff-92a7-860e329aab41}.cache... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:59,289 - .s3.s3parallels.backup - backup._do_file_operation - MainThread - Upload file Parallels/Windows 10/harddisk.hdd/harddisk.hdd.drh... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/backup.py:41
INFO - 2021-08-07 14:34:59,790 - .__main__ - main.main - MainThread - Elapsed time is 7 seconds 432 milliseconds. in main.py:108
INFO - 2021-08-07 16:36:23,172 - .__main__ - main.main - MainThread - Elapsed time is 2 seconds 763 milliseconds. in main.py:108
INFO - 2021-08-07 18:38:38,979 - .s3.s3parallels.operation - operation._process - MainThread - Found VM Windows 10 with identifier dabfc2f1-772e-4647-84a6-e44af284bf79  and uptime is over 70 hours. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/operation.py:461
INFO - 2021-08-07 18:38:38,983 - .s3.s3storage - s3storage.__init__ - MainThread - Open S3 AWS Session... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:35
INFO - 2021-08-07 18:38:39,005 - .s3.s3storage - s3storage.__init__ - MainThread - Initialize S3 AWS client for https://hb.bizmrg.com... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:52
INFO - 2021-08-07 18:38:39,318 - .s3.s3base.s3baseobject - s3baseobject._copy_object - MainThread - Copy objects.py from Parallels/Windows 10 to Archives/2021/219/183839 Windows 10 in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3base/s3baseobject.py:332
INFO - 2021-08-07 18:38:39,787 - .s3.s3base.s3baseobject - s3baseobject._copy_object - MainThread - Copied 20 object(s). in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3base/s3baseobject.py:357
INFO - 2021-08-07 18:38:39,824 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/statistic.log was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,824 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/VmInfo.pvi was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,824 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/config.pvs.backup was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,824 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Windows 10.app/Contents/Info.plist was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,825 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/config.pvs was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,825 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/harddisk.hdd.drh was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,825 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Windows 10.app/Contents/Resources/AppParams.pva was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,825 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/parallels.log was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,826 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/harddisk.hdd.{5fbaabe3-6958-40ff-92a7-860e329aab41}.cache was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,826 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/parallels.log.1.gz was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,826 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/harddisk.hdd was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,826 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Snapshots.xml was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,826 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/DiskDescriptor.xml.Backup was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,827 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Windows 10.app/Contents/MacOS/WinAppHelper was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,827 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/parallels-tools.log was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,827 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Windows 10.app/Contents/Resources/WinAppHelper.icns was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,827 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Windows 10.app/Contents/PkgInfo was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,827 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/harddisk.hdd/DiskDescriptor.xml was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,827 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Unattended.iso was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:38:39,828 - .s3.s3storage - s3storage.delete_objects - MainThread - Parallels/Windows 10/Windows 10.app/Contents/Resources/English.lproj/InfoPlist.strings was deleted. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:302
INFO - 2021-08-07 18:42:45,637 - .__main__ - main.main - MainThread - Elapsed time is 2 hours 3 minutes 50 seconds 585 milliseconds. in main.py:108
